[General]
Name|Ashley
137|Tu te débrouilles comme un chef si c'est ce que tu veux faire de moi. Si tu ne l'as pas déjà remarqué avec le comportement de Patrick, mais notre famille ne tient pas très bien l'alcool. Mais bon, j'emmerde Madison, si tu vois ce que je veux dire ? Laisse-la tomber elle et toutes ses manigances. J'en ai plein le cul.
138|Putain, tu as totalement raison : je dois absolument le faire. Je parie que tu viens aussi d'une famille comme la mienne, où ta soeur est une vraie garce et qui met de la mayo dans ton soutif... push-up en dentelle qui a fait voir à Danny Roberson des putains étoiles ! Ta soeur n'a jamais mis de mayo dans ton putain de soutif, hein ? Parce que ça ne part pas la mayo dans un soutif ! Et puis merde, je vais lui dire ces quatre vérités. Je vais le faire *hic* immédiatement, merde.
138.1|Et qu'est-ce que tu en sais ? Je parie que tu viens d'une famille où ta soeur a toujours été gentille avec toi et n'a jamais mis de mayo dans ton soutif... push-up en dentelle qui a fait voir à Danny Roberson des putains étoiles ! Ta soeur n'a jamais mis de mayo dans ton putain de soutif, hein ? Parce que ça ne part pas la mayo dans un soutif ! Et puis merde, je vais lui dire ces quatre vérités. Je vais le faire *hic* immédiatement, merde.
139|Et en plus, je me casse la gueule...
140|Madison, HE MADISON. J'ai quelque chose à dire...
141|Ferme-la. Ca ne pue pas l'alcool, c'est juste l'odeur de tes conneries. DE TES CONNERIES. Et j'en ai marre de l'odeur de tes conneries ! Tu me traites comme de la merde tout le temps avec tes CONNERIES.
142|Tu penses que je suis là pour parler ? Je ne veux pas te parler ! Je veux te casser la gueule, salope ! Ca fait trop longtemps que ça dure, Madison. Je vais te casser la gueule !
143|Ouais, comme je ne vais pas te le cacher : j'aime fumer de la beuh. C'est certainement ma drogue de prédilection, même si je ne suis pas contre un bon verre d'alcool... En fait, je compte aller à l'étranger dans quelques mois pour voir ce qu'ils savent produire, si tu vois ce que je veux dire... Bref, j'aimerais bien fumer un peu de beuh, là, tout de suite, maintenant. Vois si tu peux en trouver, et sache que je ne suis pas contre un autre verre !
143.1|Putain de Derek, pas capable de tenir un secret... Comment est-ce possible qu'il ne parle jamais de ses problèmes familiaux, mais qu'il prend un malin plaisir à vendre la mèche à propos de moi, comme si de rien n'était ? J'aime fumer de la beuh. C'est certainement ma drogue de prédilection, même si je ne suis pas contre un bon verre d'alcool... En fait, je compte aller à l'étranger dans quelques mois pour voir ce qu'ils savent produire, si tu vois ce que je veux dire... Bref, j'aimerais bien fumer un peu de beuh, là, tout de suite, maintenant. Vois si tu peux en trouver, et sache que je ne suis pas contre un autre verre !
144|Je n'ai pas fini la précédente... Laisse-moi quelques minutes, le temps de la finir.
144.1|Ah non, plus jamais. Eloigne cette merde loin de moi.
145|Ouais, j'emmerde Madison.
146|Espèce d'idiot. Tout allait si bien, et il a fallu que tu foutes tout en l'air. Tu n'es plus mon apprenti.
147|Eh bien, merci en tout cas. Maintenant, je vais pouvoir passer le reste de cette soirée à préparer ma vengeance. A plus.
148|Nous avons toutes sortes de gens ici. Je ne vais pas te mentir, la plupart sont des amis de Madison. Même s'ils m'ont accepté dans leur groupe, je suis sûr que Madison déteste ça. Mais ouais, tout ce monde semble sympa. Sauf Frank.
149|En fait, comme je ne sais pas qui tu as déjà croisé ou non, je fais tous les passer en revu. Stéphanie, Katherine, Rachael, Amy... ce sont toutes des copines que Madison s'est fait à l'école. Patrick est notre cousin, et c'est à peu près la seule raison pour laquelle il est ici ce soir... et Frank, qui n'a aucune raison valable d'être là. Oh, et j'oubliais Derek, qui connaît ma soeur je ne sais trop comment. C'est ton ami, non ?
150|Euh, ce n'est pas très sympa, mais bon... En fait, je dois filer. Va voir, euh... Rachael.
151|Hé, désolé, je suis un peu occupée en ce moment. Nous pourrons peut-être parler plus tard.
151.1|Tu dois vraiment apprendre à laisser respirer les gens. Casse-toi de ma vue et laisse-moi me détendre.
151.2|Je n'ai vraiment pas envie de parler avec toi maintenant. Pas tant que tu ne changes pas de comportement. Repasse plus tard.
152|J'aimerais en savoir plus sur vous deux. J’ai l’impression qu’il peut être un pote, toujours là pour ses amis. Et s'il en est de même pour toi, alors tu mérites qu’on fasse plus ample connaissance.
153|Vraiment ? Ah oui, maintenant que tu le dis... La nana blonde qui si dure envers elle-même. Exact, j'ai oublié de t'en parler. Je ne l'ai pas fait exprès, c'est juste... qu'elle reste dans son coin et ne parle avec personne. Si je la connaissais mieux, j'irais la voir pour lui dire qu'elle n'a pas de raison de s'inquiéter. Mais je viens à peine de la rencontrer et on a à peine discuté 3 secondes.
153.1|Brittney ? Ah oui. Je me sens vraiment mal pour cette nana. Elle est si dure envers elle-même et sans aucune raison en plus. Si je la connaissais mieux, j'irais la voir pour lui dire qu'elle n'a pas de raison de s'inquiéter. Mais je viens à peine de la rencontrer et on a à peine discuté 3 secondes.
154|Tu comptes vraiment faire ça ? Ca serait vraiment génial. Et dire que je pensais essayer de te voler ton numéro de carte bleue... Je rigole ! Mais, si tu veux bien me le donner...
155|Je suppose que oui. Comme je suis une sorte de co-hôtesse, ce n'est pas très sympa de ma part, mais bon. Tant pis pour la blonde à gros seins qui reste dans son coin à l'étage !
156|Tu as réussi à faire sortir Brittney de sa cachette, félicitations ! J'ai vraiment du mal à te cerner. Tu débarques ici, sans connaître personne et tu commences à transformer cette soirée en grande fiesta. C'est très... euh... sexy. Je vais y aller, à plus tard.
156.1|Eh bien, tu es peut-être un imbécile fini avec une paire de bras, mais bon travail pour avoir réussi à faire sortir Brittney de sa cachette. Dis à ton psy que les médocs qu'il t'a prescrits font enfin effet. Bas les pattes et essaye de profiter de cette soirée.
157|C'est de loin la meilleure chose que j'ai vu de la soirée. Je ne sais pas si la tâche se voit encore sur mon haut, mais j'ai eu un accident similaire il y a peu : Madison a apparemment "glissé". Merci de m'avoir vengé. Peut-être pourrions-nous voir ensemble jusqu'où on peut la pousser ce soir... Tu vois ce que je veux dire ?
157.1|Eh bien, juste au moment où je pensais que tu n'étais qu'une perte de temps, tu assouvie ma vengeance. Je ne sais pas si la tâche se voit encore sur mon haut, mais j'ai eu un accident similaire il y a peu : Madison a apparemment "glissé". Je crois qu'il y a au moins un côté positif à ton comportement d'enfoiré. Bien joué.
157.2|Oh mon dieu, je regrette de ne pas avoir vu ce que tu as fait à Madison, mais on me l'a raconté. Bien joué ! Je ne sais pas si la tâche se voit encore sur mon haut, mais j'ai eu un accident similaire il y a peu : Madison a apparemment "glissé". Merci de m'avoir vengé. Peut-être pourrions-nous voir ensemble jusqu'où on peut la pousser ce soir... Tu vois ce que je veux dire ?
157.3|Eh bien, juste au moment où je pensais que tu n'étais qu'une perte de temps, tu assouvie ma vengeance. Putain, je regrette tellement d'avoir raté cette bière qui se renverse sur Madison ! Je ne sais pas si la tâche se voit encore sur mon haut, mais j'ai eu un accident similaire il y a peu : Madison a apparemment "glissé". Je crois qu'il y a au moins un côté positif à ton comportement d'enfoiré. Bien joué.
158|Merci de m'avoir rapporté son journal intime. En fait, j'ai une idée pour vraiment me venger de ma soeur, mais pour ça, j'ai besoin de te faire un peu plus confiance avant de t'en dire plus. Continuons de profiter de cette soirée. Je vais bien voir si tu as ce qu'il faut pour être mon apprenti.
159|Bon, je suppose que tu n'es pas Arnold Palmer, ou Benedict Cumberbatch ? Je sais plus. Bref, je sais que tu ne vas pas te retourner contre moi. Laisse-moi ouvrir ce journal...
159.1|Monsieur, vous devez me confondre avec une autre belle brune. Je n'ai aucune idée de ce dont vous me parler. T'es aveugle ou quoi ? Madison est juste à côté. Ferme-la et viens me retrouver un peu plus tard.
160|Hé ! Qu'est-ce que... Oh, désolé. J'ai cru que tu voulais dégrafer mon haut pour exhiber mes seins devant tout le monde... Merci beaucoup d'avoir remis l'agrafe correctement. Si l'agrafe saute sur un haut comme celui-là, ça peut vite devenir humiliant. Merci encore, bébé.
160.1|Hé ! Bas les pattes, gros pervers... Oh, désolé. J'ai cru que tu voulais dégrafer mon haut pour exhiber mes seins devant tout le monde, alors qu'en fait tu étais en train de remettre l'agrafe correctement. Merci bien... A plus.
161|L'homme de la soirée ! Je suis ravie que nous n’arrêtions pas de tomber l'un sur l'autre. Même si j'aurais vraiment apprécié que tu arrives une minute plus tôt pour me sauver du speech d'Amy. Elle essaye de me convaincre de rejoindre sa sororité. D'être une de ces diablesses... Donne-moi ton âme...
161.1|Salut, l'homme de la soirée.
161.2|Mon dieu, tu ne peux plus te passer de moi, n'est-ce pas ? Je peux dire que le sentiment est mutuel...
162|Hum, C'est ça que tu veux ? Eh bien, dans ce cas, je vais te montrer ma chambre. Peut-être que je pourrais prendre ma première âme pour l'avenir de ma sororité... Allez, suis-moi.
162.1|Un autre tour, hein ? Je crois que je comprends pour quelles raisons tu veux ça. Il y a tellement de choses à voir. Viens, suis-moi.
162.2|Je suis désolé, mais ce guide touristique n'est pas encore remis de sa dernière tournée. Veuillez lui donner encore quelques minutes pour recharger sa batterie.
163|Assieds-toi.
164|Donc, comme tu peux le voir, je n’ai qu'un tas de babioles. Quand j'ai emménagé avec Madison, je n'ai pas vraiment apporté beaucoup de mes affaires parce que je suis sûre qu'elle les jettera au feu si je n'y fais pas attention. Un autre classique des farces ou techniques de guerre de Madison : bruler mes affaires. Quand j'ai vendu plus de cookies qu'elle en tant que scout, elle a brûlé ma ceinture. La dernière fois que je draguais un mec qui lui plaisait, elle a brûlé toutes mes culottes... Et aussi la maison du mec... Mais je ne crois pas que je suis supposée en parler... Voilà.
165|Bon, est-ce qu'il y a quelque-chose ici qui t'intéresse ? Une question, peut-être ? Je sais, ce n'est probablement pas la chambre plus cool que tu aies déjà vue...
166|En fait, non. Je ne sais pas en jouer. A l'époque, je l'avais acheté avec l'intention d'apprendre, mais l'envie m'est passée. Une fois, j'étais dans un bar et c'était la soirée nouveau talent. Une pouffiasse monte sur scène pour jouer... et, on mon dieu, c'était ignoble. Non seulement, elle ne savait pas jouer mais en plus elle était habillée comme une guenon. Bref, ça m'a coupé l'envie. Je n’ai pas du tout envie de ressembler à cette nana. Depuis cette guitare reste plantée là. Maintenant, je m'en sers juste pour cacher des choses à ma soeur.
167|Ah, ce truc-là ? Ce n'est certainement pas pour du travail scolaire. Ne le répète à personne, mais de temps en temps j'aime bien fumer de l'herbe une fois que Madison est partie se coucher. C'est à ce moment-là que j'utilise ce tableau, pour écrire des messages comme "Siège de l'antenne locale des amatrices de grosses bites" ou "Réunions des Amateurs de Zoophilie Anonymes ici tous les Mardi"... Vraiment tout ce qui me passe par la tête. Ensuite, je l'accroche à la fenêtre et j'attends que quelqu'un vienne sonner à la porte.
168|Oh non, je suis sérieuse. Je sais que j'habite ici aussi, mais ce n'est que temporaire, jusqu'à ce que je sois diplômée. Mais Madison compte rester ici longtemps.  J'aime croire que, dans quelques années, une fois que j'aurais déménagé dans un appartement chic du centre-ville, Madison soit en train de se frotter le clito devant un épisode de Camionneurs de l'Extrême lorsque qu'un SDF grisonnant sonne à la porte pour lui demander si c'est bien ici que la version nudiste de la soupe populaire... Il rappellera à Madison son camionneur préféré... elle l'invitera à... Bref, tu imagines très bien où je veux en venir ! Si ça se trouve, je lui ferais même une faveur...
169|Dans le mil, cowboy. J'adore ta manière de penser. Alors, dis-moi, qu'est-ce qui t'attire chez moi ?
169.1|C'est l'idée de me voir en représentation dans un bar merdique qui te fait de l'effet ? C'est pour ça que je t'ai raconté cette anecdote. Tu sais, un autre problème avec cette foutue guitare, c'est que ces deux obus sont toujours sur le chemin... Oups. Tu vois ? Ils font ce qu'ils veulent ! 
169.2|Quelle partie de cette histoire te fait de l'effet ? Le SDF grisonnant ? Le camionneur ? De toute façon, je suis ravie que ça te fasse de l'effet, car toi aussi tu m'en fais depuis que je t'ai vu pour la première fois. Je pense que nous ferions mieux de passer aux choses sérieuses.
170|Est-ce ceci ? Ils ont tendance à faire cet effet-là. Madison a peut-être cette maison, mais elle n'en aura jamais des comme ça. Allonge-toi, ne me fait pas attendre.
171|Cette garce a eu ce qu'elle mérite ! Enfin ! Ouah... Je vais aller vomir.
172|Je ne veux rien avoir à faire avec toi. Tu es littéralement le pire être humain que je n'ai jamais rencontré et j'en ai vu du monde. Quand j'avais 14 ans, mon drogué de voisin a essayé de mettre en gage ma perruche pour 30 balles et un paquet de 12 cuillères... Et tu es encore pire que ce gars-là. Si tu as une question, pose-la, puis casse-toi de ma vue.
172.1|Quoi ?
172.2|Parle.
173|Tu te sens mieux maintenant ?
173.1|Putain de trou du cul.
174|Eloigne ça de ma vue. Si tu ne l'as pas déjà remarqué avec le comportement de Patrick, mais notre famille ne tient pas très bien l'alcool fort. Par contre, je ne suis pas contre une bière...
174.1|Si je regarde une autre bouteille, je vais commencer à gerber partout et ça ne va pas être joli.
175|S'il te plaît, baisse d'un ton. J'ai l'impression que tu hurles dans mes oreilles.

[Responses]
147348e3-1917-4751-a55b-957e24afcd31|Que puis-je faire pour gagner ta confiance ?
3bbc6974-4901-4cae-9040-1259569dce8b|Ca marche. Dis-moi juste ce que je dois faire.
9807d450-5edc-486a-bac9-984215aed402|Ce qui est exactement ce que nous allons faire.
cd4906e7-beaa-436c-b629-c851af97595f|Je pourrais les mettre à laver pour toi !
b19cf5af-b536-47ca-a4ad-ed3b81588e17|Il suffit de les enlever et de te promener torse nu. Ca ne me dérange pas. #LibérezLesTétons
68dfbd09-3197-4490-ae34-5ee0e29efc34|Challenge accepté !
3c9e38c5-6903-422e-baef-9ef801c48a4e|En fait, je l'ai déjà avec moi.
2d83081a-acba-45ae-b84c-3226952be5f1|Oups...
66bd173d-88f6-45fc-9596-0fc1bcfe3ffc|Euh, non ? C'est mon téléphone. Il doit juste ressembler au sien.
53dcadb7-a199-4301-a038-e57c86469d39|Peut-être. Pourquoi cette question ?
78ca8373-2150-49e8-bcc7-a5a5122cc2fb|Euh... Je ne vois pas pourquoi je ne pourrais pas aimer le rose ! Sexiste !
5d0cad0f-65a5-4501-bad0-941a433a11d8|Je suis intrigué. Continue.
a9bd11d0-0639-4b18-85cc-91ff067a96ca|Merci, mais non merci. Je ne suis pas intéressé.
2ee4ae17-4e18-4094-aadd-9f533acf9c36|Je ne devrais probablement pas m'impliquer dans vos manigances.
13ea1ab5-0692-46fb-8ec6-806fdc10406f|Je suis partant. Que veux-tu que je fasse ?
1e0965e3-bb81-4f75-bad2-200843836f69|Je vais voir ce que je peux faire.
32111746-30c4-4ac8-8800-e605e202c205|Je t'avais bien dit que j'y arriverais !
89b41545-f10b-4589-ba25-8ca82360d8b7|Je t'avais bien dit que j'y arriverais !
9e9e6bd7-6bde-4576-8999-46746a1338d1|Je t'avais bien dit que j'y arriverais !
dae06600-259e-4237-ae06-d422f1e83dc9|Je te suis !
fede9cb4-2289-4462-bace-f56efaa19d9b|De rien !
67f17933-fdb9-4990-90e0-2ceceba5ac68|Oh oui, bien sûr !
8ea2297e-4c75-46cc-871f-47eb25a357ab|(Continuer)
efc9caa2-af86-4ad2-b36b-b2e2047cbfd3|Oups ! Je me demande bien ce qui a bien pu se passer.
404ac620-8275-4da6-be5d-1d72d30fceb8|Pas de problèmes ! Je reviens immédiatement !
3f6cece2-4928-485d-8bc2-60959ad3fb93|De rien !
10a26b22-d597-4680-8b8e-8a9d67d38d30|(Ca promet d'être intéressant)
126ff2a3-bba3-411c-b3e7-7a89becab96e|(Sifflote)...
7701037e-d0a8-4493-a335-1925f94d1c6d|Waouh ! Quel spectacle !
6d0f2a5f-6c3d-4ebf-8ab4-5b5bf494adf1|Parfait. Alors tu resteras comme ça toute la soirée. Voici la clé.
b5d57200-6e25-4708-9b84-fabb287187c0|Je te donnerai la clé seulement si tu restes toute nue... Et que tu me donnes ta culotte.
26a4e46f-1cd5-4ba9-a7b7-0622cc74c22f|Ca me semble être une bonne affaire !
510ca494-6861-43c0-a74f-1af190d131fa|Mouhahaha.
5be9afbc-a90c-4c7a-a2df-1f11fa5b4dd7|Oh que oui. Ne t'inquiète pas.
abc67b02-4d7b-40f5-8475-e7449187086a|Tu verras bien...
5dec9791-6d04-47c5-8ddf-f81686626cb4|Mission réussie !
8c234981-1cbf-443c-95fa-d6997c9963a3|Oups.
c0448dda-ed87-477b-847c-81b7ecbcdad1|Ouais !
41509bb7-93da-4fe7-bad3-49909e26c939|Ca en valait vraiment la peine.
bcaa762a-8b1b-49a5-8ec2-46131ef68a96|Ah, oui. Désolé, j'avais oublié que tu avais la bouche pleine...
1108f7a3-a12c-4ea8-9377-0d3e7e88b74f|C'était l'idée de Madison. En échange, elle a promis de me donner le numéro de Vickie.
c283db20-97b9-4d61-b727-337519a619e9|Je suis désolé. C'était très immature de ma part. Que puis-je faire pour me faire pardonner ?
f18c4c10-d5fd-4169-a9bd-7336f89ec21c|Parce que j'ai laissé ma morale dans un club de strip-tease ?
bd5b3ef4-d1aa-4dac-bb0b-f5dfd35f97ea|Dit comme ça...
a700157a-a854-4b01-9485-87aa1ca07c8a|Tu dois avoir le sommeil super lourd...
15c24879-0eba-45c6-9f84-eb93af7f4c7f|Mission réussie !
d9570ee2-9825-4f94-9cde-f94a2fda83a7|Ok, désolé !
8b7f8929-fe4d-48b2-b2cc-b761a5669de3|Merde alors...
12903dfb-3c8e-490f-a38c-e7926f1298cb|Ouais !
bfb360c1-7e5a-4765-87f6-d3b8a10fba07|Trop cool. La farce est de nouveau en route !
4c9a046f-03e0-4cde-b635-6906880517c9|Je t'en prie !
acb2aad7-61eb-4dfb-969f-6be7e4ca7f29|Mission réussie !
da99cc8e-3fc2-4cfe-9f44-5b1b27b00524|C'est pour obliger Derek à enlever sa chemise.
017ff312-3ceb-4226-a342-d89f169dc862|C'est pour légaliser la marijuana à des fins récréatives.
87809d6b-1e36-4b2c-9de7-a98c4710487a|Dans ce cas, ok.
0f227210-bf97-414d-bc5b-f95d987b086a|Oups...
d7893948-7316-4b0a-af83-5e9bf1ff3882|Aïe. Ca pique...
9d482039-b4b5-4794-8a12-8aea3c5a8314|Du calme, je ne faisais que plaisanter !
e6df7fe7-9e65-4382-ba9d-c538078d38fd|Ah, oui...
043ad31e-70ce-4e21-a1f0-5e7c6826b9ad|J'aime ta façon de penser.
1355e5bd-72e1-4cb9-abdd-ac682bba405b|J'ai déjà rendu le téléphone à Madison...
a82696f2-2762-458a-b78f-afec430386b5|Je vais voir ce que je peux faire.
b29e09d2-1c00-45c9-903a-85889544a403|De quoi parles-tu ?
183ba273-421f-4f83-95f5-98babb0c601f|Donc tu as son code pin et j'ai son téléphone... C'est quoi la suite ?
52dd4c38-b9bf-4c3c-8693-09aa3c61b705|Oh ! Salut, Patrick.
e2e04bf3-c669-4c47-9e2b-05aa863c659e|Parfaitement. Nous étions en train de parler de films post-modernes.
12d59809-49fb-4a81-a33a-ca6d35ba4d76|Ok, à tout de suite.
ef554920-ac96-4807-872a-95d4f30f92c1|Ok, à tout de suite.
c0312cd7-f5c3-4f30-8048-075668962ef2|Il y a... le feu... dans ta chambre.
34c5a4bb-98cf-45ca-9fc5-e5b3b3ed5a08|L'apocalypse de zombies a commencé.
61914fd9-1260-4698-84e9-79280ab8449a|J'ai fait caca à un endroit où je n'aurais pas dû.
082855f3-3281-44d9-885b-3093e21a3dbd|Tout à fait, c'est vraiment une urgence.
c0d54b72-51c1-4157-814f-e14f17f1a60c|Une bonne quantité de photos d'elle nue.
ee8eca91-8b34-4b37-a464-0ccaa37b9273|Oh, absolument rien. Désolé.
0ca5b67e-a3a3-42c3-aba4-960a7ed54942|Comme tu veux.
694da1e2-f1a4-4b9f-b40c-201e53ae7fe8|Ok, ok, merde.
ca5773e5-1373-44f6-b032-0769eeb91633|Tiens, jette un oeil.
1e68d72b-c40b-434d-a659-4a6bdd24c3f1|A quoi penses-tu ?
bb4de63b-fa9a-48e2-80ab-a4dc7947bf45|Compris.
940d0766-6430-41da-bef6-a8c72b7727f8|C'est exactement ce que je voulais dire !
14abc5ab-e4f4-40ce-bdfd-696628aa3e8c|*Ecoute*
ce208d19-0fff-47a2-bf4c-621d8ecbee37|Nous voulons essayer de lui donner un coup de pouce !
0ec40d4d-8886-4f66-869e-bbb2efed1e36|*Ecoute*
8ca2f638-c91d-4c33-847f-717841b31ad4|Motus et bouche cousue, Vickie
37b554de-ac9d-4840-bfe1-c104183307e2|Ecoute-moi ! Derek et Madison pourrait certainement s'envoyer en l'air ce soir.
c45f7894-39f9-428a-a87c-91392bfa99a5|Son journal intime contient bien plus que ses mots de passes. Ils l'ont déjà fait.
db871996-2593-41b5-a23f-3486b6fdc214|Et pourquoi je ne m'occuperais pas de Vickie ?
c14b07fa-b30e-4943-bf0e-211e22928acc|Ok. Et comment saurais-je que vous êtes en position ?
5cb16903-2c1a-4ad5-aba3-1e72a2a98228|C'est pas faux. Je m'occupe des deux tourtereaux.
5e1f9e48-4e0c-4e9d-b2d9-0d9a7e2f21e8|Et c'est quoi le signal ?
896d7683-82c0-4809-a4e1-9efcd827d1da|Wow, ok. C'est faisable.
be54a3f9-b38c-4a0f-8e61-f25b389e19b5|Non, je veux un autre signal.
3de4c184-d05c-4b3c-ae5b-aaa328c1e75d|Je vais piailler comme un oiseau.
f61b0108-9f00-4404-9cd0-adc3531384dc|En fait, je n’ai pas mieux comme signal. Va pour l'enlevage de chemise.
95148294-b0e5-4c86-928a-4f6c0c088f86|C'est parti !
e79e03d5-a02c-43d1-b344-e9b26554a09f|Baisse d'un ton !
6b688db2-c1fc-4af4-85b4-2cc317f29400|Derek, je suis fier de toi !
1d94e588-906e-4c4b-acd3-5f3bc7133091|*Ecoute*
ce685e94-14ce-443a-ab7b-d5095c89a4b5|J'aime ce que ça veut dire.
65734cb5-1c9a-4fe8-90da-b6bf15b06fe3|Je pense que je peux y arriver.
01248673-86e4-4471-82c0-d4286ae16a7c|Je pense qu'il serait plus équitable si certains de mes vêtements commençaient à tomber...
ef9d42e4-19c2-4982-babb-a194caae18f8|Donc tu as son code pin et j'ai son téléphone... C'est quoi la suite ?
09e64463-b52b-4a02-86ba-3c4a46442b64|*Soupir* Je crois que je vais passer à la casserole.
f7eb9f10-971e-48b6-b042-b22aa981f729|Derek !
a2a85ce9-1e2b-4bb9-8a7f-6396375bec45|A qui penses-tu ?
de6d6468-50cf-4e4d-86d4-7a4e637238c3|Ok.
87430026-56c8-4f99-9599-f9bda948c957|Je lançais seulement une idée !
92040fb8-6479-4b25-8647-2eaf28928208|Et moi ?
ec128d81-a731-4fe6-9dca-87e896c25e93|Je vais voir ce que je peux faire.
6195438a-5936-4096-aebf-844d1ac866d1|Je vais voir ce que je peux faire.
3ec1363e-9e92-4413-9d6a-8aba3fd5a9d2|Ok, ça marche.
b07cccd2-c4ca-4690-bed4-95ec88e38f3f|Je n'y peux rien, c'est tellement excitant.
322df6fa-7c2f-47af-84b9-dd0d4569174e|Désolé, mais je dois le faire.
b9072a8e-5629-4e6a-97b4-81e10636e895|Merci Ashley !
a5beb37f-474d-4991-a025-0a37839f795c|Oups.
d83e4902-8d94-4056-bc98-b8a276361c0f|Donc tu es bien la co-hôtesse de cette soirée.
69c6f33a-3c08-4792-888d-7884fc28438d|Laisse-moi rentrer !
504a08c3-6ee8-47c6-bf2c-143b431d4b9b|Merde ! Je suis désolé !
63d0e714-2e61-4dc9-be73-1fba704ede86|Au final, je n'aurais pas subi ces séances de muscu pour rien.
89227b04-087c-46e3-b1af-73550693fb28|Ok, ok.
2edac4f1-f024-4347-9007-d16e2a70c11b|Pas de problème.
46baf416-69ef-4829-b196-d77b54b4c051|Certes, mais ça t'a permis d'écourter la conversation...
bc0ae3df-ff1a-4b2f-b399-95f1f8169d57|Je pense que tu es sur la bonne voie.
63c086d4-e35d-4c3d-afb6-b609a3fc2c4f|Ok, c'est bon. Les voilà.
b5f2ed97-67c0-41cb-96a3-bc1244ec41bd|Désolé, je ne sais pas de quoi tu parles. A plus !
dc4096bf-a4e2-4d42-b161-62f1debf6cfa|Mon style, c'est en levrette.
6a846ff0-4163-4702-bf73-85dbbd48ad82|La bonne vielle position du missionnaire.
608c374a-fba7-4061-9bf9-2d800499ec66|Chevauche-moi, belle amazone.
95766a4d-be00-4324-811a-7e79300a7eff|En quelle année a-t-on marché sur la lune ?
a77a1620-3ee4-405c-970a-e04f0f610686|Me voici.
625d1edf-096a-4af8-9b41-6afe49d9e331|C'est le téléphone de Madison. Elle a un message vocal !
b8ec5473-1712-40b7-a58d-3489135407fe|Ok. Laisse-moi juste le temps d'accéder à sa messagerie.
0f680ddd-85dd-4356-a281-ad1b82172ff2|Oh, bébé !
f911be7b-837d-49cc-ad5b-7a872b0f882f|Tu seras la première informée, Ashley.
da30a527-0902-424f-bd60-fc8e3ae4a618|Je te suis.
4df55bfa-19f0-402e-a9dd-e4c4fd843c2e|Je comprends. A très bientôt.
ed59e339-b0c3-415a-a566-4e39ae31979e|Ouais, au diable Madison !
79fa4b3f-3941-4872-b0d1-622c7eb812b1|Je pourrais peut-être continuer à remonter dans ton estime avec plus d'alcool...
91b68356-a98d-40a5-a10a-75960a4aab1d|Frank n'a pas récupéré tout l'alcool présent dans la maison. Il suffit de savoir où chercher !
7e1edb9f-5577-408b-9497-0b9309d64374|Qu'est-ce que ça a à voir avec mon cadeau alcoolisé ?
386b047f-a7fb-4f20-8297-a611730275e9|De la beuh ? Tu aimes fumer ça ?
dd81b845-8e4d-4f6a-b159-ff79e65e7f40|Ha ! Derek m'avait prévenu que tu as un penchant pour ça.
341715dd-900d-47ef-b6ce-95a386d8e57a|Entrez texte de la réponse ici.
1b8ee2b1-1d59-47b2-b4d3-979e2bcaaa9d|Alors, je vais continuer à t'apporter des verres.
ad9d24fb-471b-48e7-81b5-1944acd48e51|J'essaye vraiment. Peut-être que plus d'alcool aidera.
af077b79-4a13-4415-9455-f2cdd172048b|Tu devrais lui dire comment tu te sens, afin de tirer les choses au clair.
9d3768af-5b4c-46b1-bd11-08e3f609b8df|Ne t’approche pas de Madison dans cet état-là. Ca n'apportera rien de bon.
72f5ff0b-3dff-4520-845f-fb22b199cf47|Merde alors ! Tant qu'à faire, autant voir ce que ça va donner...
415d1f2a-cd62-4216-aae3-cd3eb48c1abd|Tu voulais parler à Madison, tu te souviens ?
10d83f70-e9f8-4702-a12c-9da586dcff14|Ashley...
713b4ccf-2cd7-46f8-9767-1ac470c81506|*Ecoute*
345b6b08-7bdc-4a74-87da-f33aec84982e|Et c'est parti...
cd3b9a12-c7b2-402d-a921-4f2101cacab0|Je vais voir ce que je peux faire.
0e3e555a-c987-406b-b33b-f5913411f557|Ok.
e5cc28a8-e5b8-40d4-abfa-e8fded26ae35|Vas-y, fonce !
673df5e5-2d5a-4752-9d08-2148b4f60f40|Merde, je suis désolé.
8af4ac5c-0380-4f26-ace5-739d8cf6f270|Je vais garder ça à l'esprit !
25dc3d7b-6f60-40d8-914c-e2cec09619fa|Dis-m'en plus sur tes amis.
eaa02750-657c-4cca-8bca-dc2bdd06aa63|Pas vraiment. Je me sers de lui pour draguer des filles lors de soirées comme celle-ci.
fc4f462e-6c95-45df-9a2d-ab98d1e685f9|Ouais, Derek et moi nous connaissons depuis super longtemps. C'est mon meilleur pote.
19d03fac-0721-4888-9469-60bdc40fb14c|Oh, ok. On reparlera ensemble plus tard.
09fc7e75-fc68-4051-a7dd-3178d5f71484|Ok, à plus alors.
c7344e86-47c0-4a9d-b84a-a8014b560724|J'espère bien.
8128dca3-0e8d-4ffa-9744-d8717fd15fdc|Je vais l'aider à réaliser qu'elle n'a pas à s'inquiéter.
ec8c026b-5edd-4a02-87a3-1c593cfe0fa6|Tant pis pour elle, cette soirée est à nous !
4526dcee-3c9c-4ce9-b086-9f3d829c3af2|Je crois que ça commence par 4, je pense.
a86a1259-58c7-42bc-b90b-da8068440979|Wahou !
7fc66976-f42a-4f9a-8eed-e76b5fdb5e72|Eh bien, merci !
c0170ac2-6907-4050-8200-75e13bfdac38|Ravi d'avoir pu te rendre service !
